Sample,Length,Month,Year
2,2.16,0,0
3,2.44,0,0
2,2.57,0,0
2,2.66,0,0
2,2.66,0,0
2,2.68,0,0
2,2.71,0,0
3,2.73,0,0
1,2.77,0,0
2,2.79,0,0
2,2.85,0,0
3,2.86,0,0
1,2.89,0,0
3,2.91,0,0
2,2.93,0,0
2,2.94,0,0
2,2.95,0,0
2,2.96,0,0
2,2.99,0,0
2,3.01,0,0
3,3.01,0,0
3,3.03,0,0
2,3.04,0,0
1,3.07,0,0
1,3.07,0,0
2,3.07,0,0
2,3.08,0,0
3,3.08,0,0
2,3.1,0,0
2,3.1,0,0
2,3.11,0,0
1,3.13,0,0
2,3.13,0,0
3,3.13,0,0
1,3.15,0,0
2,3.15,0,0
2,3.15,0,0
2,3.16,0,0
2,3.17,0,0
3,3.21,0,0
2,3.23,0,0
3,3.24,0,0
2,3.25,0,0
2,3.29,0,0
2,3.29,0,0
1,3.3,0,0
2,3.3,0,0
2,3.3,0,0
2,3.3,0,0
3,3.3,0,0
2,3.31,0,0
2,3.33,0,0
1,3.34,0,0
2,3.34,0,0
3,3.35,0,0
1,3.36,0,0
1,3.37,0,0
2,3.37,0,0
2,3.39,0,0
2,3.4,0,0
2,3.42,0,0
2,3.42,0,0
3,3.42,0,0
1,3.44,0,0
1,3.44,0,0
2,3.44,0,0
1,3.45,0,0
2,3.46,0,0
3,3.46,0,0
2,3.47,0,0
1,3.48,0,0
2,3.48,0,0
3,3.48,0,0
2,3.49,0,0
3,3.49,0,0
2,3.51,0,0
1,3.54,0,0
2,3.54,0,0
3,3.54,0,0
1,3.55,0,0
2,3.55,0,0
2,3.55,0,0
3,3.55,0,0
3,3.55,0,0
1,3.57,0,0
1,3.57,0,0
2,3.57,0,0
2,3.58,0,0
2,3.59,0,0
2,3.59,0,0
2,3.59,0,0
2,3.6,0,0
1,3.61,0,0
1,3.61,0,0
2,3.61,0,0
3,3.63,0,0
2,3.64,0,0
1,3.67,0,0
1,3.67,0,0
3,3.67,0,0
1,3.69,0,0
2,3.7,0,0
3,3.71,0,0
3,3.72,0,0
1,3.73,0,0
1,3.73,0,0
1,3.74,0,0
1,3.74,0,0
3,3.74,0,0
2,3.75,0,0
2,3.75,0,0
3,3.76,0,0
3,3.76,0,0
3,3.77,0,0
3,3.77,0,0
2,3.78,0,0
3,3.78,0,0
3,3.78,0,0
2,3.79,0,0
2,3.79,0,0
2,3.79,0,0
3,3.79,0,0
3,3.79,0,0
1,3.8,0,0
2,3.81,0,0
2,3.82,0,0
3,3.82,0,0
1,3.83,0,0
2,3.83,0,0
2,3.83,0,0
2,3.84,0,0
2,3.84,0,0
1,3.85,0,0
3,3.86,0,0
2,3.87,0,0
2,3.89,0,0
