"","n","V2"
"1",1,25
"2",2,36
"3",2,48
"4",3,25
"5",4,59
"6",5,60
"7",6,70
"8",6,83
"9",7,71
"10",8,48
"11",9,48
"12",10,60
"13",11,48
"14",12,59
"15",12,60
"16",12,71
"17",12,72
"18",13,71
"19",14,1
"20",14,2
"21",15,60
"22",16,60
"23",17,71
"24",18,71
"25",19,37
"26",19,48
"27",20,60
"28",20,71
"29",21,13
"30",21,60
"31",22,48
"32",23,25
"33",24,60
"34",25,83
"35",26,83
"36",27,71
"37",28,48
"38",28,60
"39",29,60
"40",30,25
"41",31,37
"42",32,60
"43",33,48
"44",34,25
"45",35,71
"46",36,59
"47",37,59
"48",38,48
"49",39,60
"50",40,24
"51",40,48
"52",41,72
"53",42,37
"54",43,36
"55",43,60
"56",43,71
"57",44,48
"58",45,71
"59",46,48
"60",46,59
"61",47,60
"62",48,36
"63",48,48
"64",49,48
"65",50,60
"66",51,59
"67",52,59
"68",53,48
"69",54,60
"70",55,60
"71",56,60
"72",57,48
"73",58,36
"74",59,48
"75",60,71
"76",61,37
"77",62,36
"78",63,36
"79",64,60
"80",65,72
"81",66,48
"82",67,59
"83",67,83
"84",68,36
"85",69,37
"86",69,48
"87",70,24
"88",71,60
"89",71,71
"90",72,60
"91",73,59
"92",74,71
"93",75,59
"94",75,60
"95",76,83
"96",77,72
"97",78,59
"98",79,59
"99",80,60
"100",80,71
"101",81,36
"102",82,71
"103",83,36
"104",83,60
"105",84,59
"106",85,36
"107",85,48
"108",85,59
"109",86,60
"110",87,71
"111",88,37
"112",89,37
"113",90,60
"114",90,72
"115",91,25
"116",92,36
"117",93,60
"118",94,48
"119",95,71
"120",96,60
"121",97,36
"122",98,60
"123",98,72
"124",99,72
"125",100,71
"126",100,72
"127",101,48
"128",102,71
"129",103,60
"130",104,72
"131",105,71
"132",106,71
"133",106,72
"134",106,83
"135",107,60
"136",108,60
"137",109,36
"138",110,24
"139",111,71
"140",112,37
"141",113,60
"142",114,47
"143",115,59
"144",115,72
"145",116,48
"146",116,71
"147",117,59
"148",118,83
"149",119,71
"150",120,60
"151",121,83
"152",122,4
"153",122,49
"154",123,83
"155",124,48
"156",125,59
"157",126,36
"158",127,25
"159",128,48
"160",129,48
"161",129,60
"162",130,36
"163",131,13
"164",131,25
"165",132,48
"166",132,71
"167",133,48
"168",133,83
"169",134,48
"170",135,48
"171",136,59
"172",137,83
"173",138,60
"174",139,71
"175",140,59
"176",141,59
"177",142,60
"178",143,36
"179",143,48
"180",144,59
"181",145,71
"182",146,83
"183",147,37
"184",148,48
"185",149,60
"186",150,48
"187",151,59
"188",152,59
"189",153,60
"190",154,71
"191",155,59
"192",155,60
"193",156,13
"194",157,48
"195",157,60
"196",158,1
"197",158,48
"198",158,60
"199",159,48
"200",160,11
"201",160,83
"202",161,71
"203",162,36
"204",162,60
"205",163,1
"206",163,60
"207",164,48
"208",165,47
"209",165,59
"210",166,47
"211",167,59
"212",168,47
"213",168,59
"214",168,71
"215",169,48
"216",170,60
"217",171,71
"218",172,48
"219",173,60
"220",174,83
"221",175,47
"222",175,59
"223",176,59
"224",177,48
"225",177,59
"226",177,71
"227",178,47
"228",179,48
"229",180,71
"230",181,71
"231",182,36
"232",182,71
"233",183,24
"234",183,72
"235",184,35
"236",184,47
"237",184,59
"238",185,25
"239",185,37
"240",186,47
"241",186,48
"242",186,59
"243",187,48
"244",187,60
"245",188,25
"246",189,36
"247",190,59
"248",191,59
"249",192,60
"250",193,59
"251",194,36
"252",195,25
"253",196,71
"254",197,71
"255",198,23
"256",199,36
"257",200,36
"258",201,59
"259",202,48
"260",202,71
"261",203,59
"262",204,83
"263",205,13
"264",206,48
"265",207,48
"266",208,36
"267",209,48
"268",210,60
"269",211,14
"270",212,35
"271",212,47
"272",213,59
"273",213,71
"274",214,71
"275",215,71
"276",216,48
"277",216,60
"278",216,72
"279",217,13
"280",218,48
"281",219,48
"282",220,25
"283",220,60
"284",221,48
"285",222,36
"286",222,48
"287",223,71
"288",224,60
"289",225,48
"290",226,60
"291",226,71
"292",227,71
"293",228,25
"294",229,48
"295",230,25
"296",231,60
"297",232,71
"298",233,60
"299",234,71
"300",235,60
"301",236,71
"302",236,72
"303",237,25
"304",237,60
"305",238,48
"306",238,71
"307",239,59
"308",240,48
"309",240,59
"310",240,71
"311",240,83
"312",241,37
"313",242,25
"314",243,59
"315",243,72
"316",244,72
"317",245,37
"318",245,60
"319",246,25
"320",247,60
"321",248,48
"322",248,72
"323",249,48
